external_id,name,is_tbd,latitude,longitude,raw
ratmalana-sri-lanka,"Ratmalana, Sri Lanka",False,6.820387603783256,79.88927545353178,"{""type"": ""Feature"", ""properties"": {""id"": ""ratmalana-sri-lanka"", ""name"": ""Ratmalana, Sri Lanka"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [79.88927545353178, 6.820387603783256]}}"
mataram-indonesia,"Mataram, Indonesia",False,-8.586389151919366,116.08153497084551,"{""type"": ""Feature"", ""properties"": {""id"": ""mataram-indonesia"", ""name"": ""Mataram, Indonesia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [116.08153497084551, -8.586389151919366]}}"
beculuk-indonesia,"Beculuk, Indonesia",False,-8.615634129813643,114.09706372041353,"{""type"": ""Feature"", ""properties"": {""id"": ""beculuk-indonesia"", ""name"": ""Beculuk, Indonesia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [114.09706372041353, -8.615634129813643]}}"
toweli-indonesia,"Toweli, Indonesia",False,-1.142467701149998,119.38836856575348,"{""type"": ""Feature"", ""properties"": {""id"": ""toweli-indonesia"", ""name"": ""Toweli, Indonesia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [119.38836856575348, -1.142467701149998]}}"
sangata-indonesia,"Sangata, Indonesia",False,0.326887363868111,117.55096752363566,"{""type"": ""Feature"", ""properties"": {""id"": ""sangata-indonesia"", ""name"": ""Sangata, Indonesia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [117.55096752363566, 0.326887363868111]}}"
tobruk-libya,"Tobruk, Libya",False,32.079604155442446,23.960311167883617,"{""type"": ""Feature"", ""properties"": {""id"": ""tobruk-libya"", ""name"": ""Tobruk, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [23.960311167883617, 32.079604155442446]}}"
al-bayda-libya,"Al Bayda, Libya",False,32.88172722141822,21.74166039584776,"{""type"": ""Feature"", ""properties"": {""id"": ""al-bayda-libya"", ""name"": ""Al Bayda, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [21.74166039584776, 32.88172722141822]}}"
tolmeta-libya,"Tolmeta, Libya",False,32.71673198238239,20.949961737944495,"{""type"": ""Feature"", ""properties"": {""id"": ""tolmeta-libya"", ""name"": ""Tolmeta, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [20.949961737944495, 32.71673198238239]}}"
benghazi-libya,"Benghazi, Libya",False,32.11658375707056,20.066759238613432,"{""type"": ""Feature"", ""properties"": {""id"": ""benghazi-libya"", ""name"": ""Benghazi, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [20.066759238613432, 32.11658375707056]}}"
brega-libya,"Brega, Libya",False,30.378108493012235,19.576525210899817,"{""type"": ""Feature"", ""properties"": {""id"": ""brega-libya"", ""name"": ""Brega, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [19.576525210899817, 30.378108493012235]}}"
ras-lanuf-libya,"Ras Lanuf, Libya",False,30.586737502695293,18.41187759844718,"{""type"": ""Feature"", ""properties"": {""id"": ""ras-lanuf-libya"", ""name"": ""Ras Lanuf, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [18.41187759844718, 30.586737502695293]}}"
sirte-libya,"Sirte, Libya",False,31.205251640496304,16.588343734005548,"{""type"": ""Feature"", ""properties"": {""id"": ""sirte-libya"", ""name"": ""Sirte, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [16.588343734005548, 31.205251640496304]}}"
misuratah-libya,"Misuratah, Libya",False,32.37427884369104,15.094790104552972,"{""type"": ""Feature"", ""properties"": {""id"": ""misuratah-libya"", ""name"": ""Misuratah, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [15.094790104552972, 32.37427884369104]}}"
al-khums-libya,"Al Khums, Libya",False,32.64966152384897,14.26441959904531,"{""type"": ""Feature"", ""properties"": {""id"": ""al-khums-libya"", ""name"": ""Al Khums, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [14.26441959904531, 32.64966152384897]}}"
zawia-libya,"Zawia, Libya",False,32.774720416295295,12.529752859149395,"{""type"": ""Feature"", ""properties"": {""id"": ""zawia-libya"", ""name"": ""Zawia, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [12.529752859149395, 32.774720416295295]}}"
